name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
GreenTree Inn Beijing Dongcheng District Wangfujin South Luogu Lane Houhai Express Hotel,53,0,FALSE,FALSE,TRUE,2.6,NA,3
Lia Beijing Hotel,101,24,TRUE,FALSE,FALSE,2.9,7,5
Beijing Chaoyang·Beijing National Stadium· Locals Apartment 00162190,148,0,TRUE,FALSE,TRUE,8,NA,0
CitiGO House Shangdi Beijing,82,92,FALSE,FALSE,FALSE,15,7.6,4
Hutong Courtyard Beijing,153,0,FALSE,FALSE,TRUE,2.3,NA,4
Jinjiang Inn - Beijing Olympic Village Datun Road,48,45,FALSE,FALSE,TRUE,10,7.9,2
Beijing Yasiming Haisheng Service Apartment,69,58,FALSE,FALSE,TRUE,5,8.6,3
Beijing Red Hotel,97,86,FALSE,FALSE,TRUE,5,7.8,3
Airport Linkong Wise Hotel,56,90,FALSE,FALSE,FALSE,23,5.6,3
Greentree Inn Beijing Guangming Bridge Express Apartment Hotel,34,90,FALSE,FALSE,TRUE,6,6.4,3
Jinjiang Inn Beijing Laiguangying,51,20,FALSE,FALSE,FALSE,13,7.1,3
Beijing GOTO Modern Hotel - Qianmen,32,118,FALSE,FALSE,TRUE,2.7,7.5,3
7Days Premium Beijing South Railway Station Jiaomen East Subway Station Branch,32,0,FALSE,FALSE,TRUE,6,NA,0
Citycourt Hotel,80,90,FALSE,FALSE,TRUE,3.5,7.7,3
Sanlitun Mark Jacobs Boutique Hotel,74,74,FALSE,FALSE,TRUE,5,7.4,4
Ibis Beijing Changping Metro Station Hotel,37,0,FALSE,FALSE,TRUE,36,NA,1
7Days Premium Beijing Wangjing,39,12,FALSE,FALSE,FALSE,11,7.3,2
7Days Premium Beijing Happy Valley Wangsiyingqiao Branch,23,0,FALSE,FALSE,FALSE,13,NA,0
Jinjiang Inn Beijing Fengtai East Avenue Railway Station,33,44,FALSE,FALSE,TRUE,10,8.1,3
Beijing Yun-zen Jinling Lotus Hotel,99,6,FALSE,FALSE,FALSE,6,7.3,5
7Days Inn Premium Beijing International Trade,25,18,FALSE,FALSE,FALSE,7,5.3,2
Xiyuan Hotel,98,138,FALSE,FALSE,FALSE,5,7.1,5
Jinjiang Inn Beijing East Lianshi Road,39,13,FALSE,FALSE,FALSE,13,7.8,3
Hanting Youjia Hotel (Beijing Guomao Jinsong Metro Station),46,0,FALSE,FALSE,FALSE,7,NA,0
Beijing Tiandi Huadian Hotel Apartment Youlehui Branch,58,70,FALSE,FALSE,FALSE,11,7.5,3
Hanting Express Beijing Advanced Business Park,45,0,FALSE,FALSE,FALSE,13,NA,2
Lavande Hotel Beijing West Railway Station South Square,64,0,FALSE,FALSE,FALSE,5,NA,0
Beijing Gongmei Blue Peacock Business Hotel,33,4,TRUE,FALSE,FALSE,17,6.1,3
Beijing Siheju Courtyard Hotel,64,249,FALSE,FALSE,TRUE,2.1,7.4,4
Jay&Susu's House,23,7,FALSE,FALSE,TRUE,20,9.6,0
CBD Chinese Style Homestay,64,14,TRUE,FALSE,TRUE,10,9.8,0
Jinjiang Inn - Beijing Houhai,42,57,FALSE,FALSE,TRUE,3.5,6.3,2
7Days Inn Beijing Beishatan,31,40,FALSE,FALSE,FALSE,10,6.6,2
Jinjiang Inn Beijing Zhushikou,31,23,FALSE,FALSE,TRUE,3,7.4,3
7Days Inn Beijing Panjiayuan,25,39,FALSE,FALSE,FALSE,6,6.4,2
Jinjiang Inn Beijing Jiuxian Bridge Electronics City,36,8,FALSE,FALSE,TRUE,11,8.8,3
Beijing Sicily Hotel,27,91,FALSE,FALSE,FALSE,5,7.4,2
Hanting Express Beijing Wangjing Technology Park New Branch,34,3,FALSE,FALSE,TRUE,12,6.4,2
Hanting Express Beijing New Fuchengmen,72,9,FALSE,FALSE,FALSE,3.5,7,2
Beijing Jingcheng Hotel,140,0,FALSE,FALSE,TRUE,15,NA,5
Jinjiang Inn Beijing Gucheng North Road,36,17,FALSE,FALSE,FALSE,17,8.1,3
7Days Premium Beijing Anzhen Hospital Huangsi Avenue Branch,23,0,FALSE,FALSE,FALSE,6,NA,0
7Days Premium Beijing Majuqiao Liandong U Valley Branch,34,0,FALSE,FALSE,FALSE,23,NA,0
7Days Premium Beijing Fengtai South Road Subway Station Wumei Market Branch,31,0,FALSE,FALSE,TRUE,10,NA,0
Beijing Kaijun Hotel (Liupukang Branch),58,0,FALSE,FALSE,FALSE,4.2,NA,0
